categoria_gasto,rubro_presupuesto
Contrato papa,Contrato papa
Contrato mama,Contrato mama
contrato hijo,contrato hijo
CUOTA CASA,CUOTA  CASA
PAGO ADMINISTACION CASA,PAGO ADMINISTACION CASA
PAGO LUZ,PAGO LUZ
PAGO AGUA,PAGO AGUA
PAGO GAS,PAGO GAS
PAGO CLARO MOVIL,PAGO CLARO MOVIL
PAGO INTERNET,PAGO INTERNET
COSAS DE CASA,COSAS DE CASA
JARDIN,JARDIN
PAGO SALUD Y PENSIONES,PAGO SALUD Y PENSIONES
PAGO MEDICINA PREPAGADA,PAGO MEDICINA PREPAGADA
MEDICINA - MEDICO,CITAS MEDICAS
MERCADO,MERCADO
COMIDAS AFUERA,COMIDAS AFUERA
SANCOCHO,COMIDAS AFUERA
TRANSPORTE CARRO / MOTO,TRANSPORTE CARRO/MOTO/GASOLINA
TRANSPORTE TAXI,TRANSPORTE TAXI
VIAJES,VIAJES
PAGO TARJETA NUBE,PAGO TARJETA NUBE
CUOTAS DE MANEJO,
PRESTAMO,
RETIRO CAJERO,
inversiones,
OFRENDAS FAMILIA,AYUDAS A FAMILIARES
DIEZMO,DIEZMO
DEPORTE ENTRENO + INSCRIPCIONES,DEPORTE ENTRENO + INSCRIPCIONES
ENTRETENIMIENTO/VIAJE,ENTRENAMIENTO/VIAJE
PELUQUERIA,PELUQUERIA
ROPA,ROPA
REGALOS,REGALOS
LIBROS,LIBROS
OTROS,OTROS
